# MINOS near detector purity for CC events
# taken from fig. 6 of 1001.0336
#
# E_reco [GeV]   efficiency
   0.48083        0.65136
   1.48581        0.91293
   2.49876        0.98320
   3.57772        0.99296
   6.87940        0.99073
   9.22850        0.99330
  12.97452        0.99352
  22.87926        0.99412
  30.11733        0.99456
  37.16504        0.99257

