2.000000 1.734950e-02
2.250000 1.731829e-02
2.500000 1.741697e-02
2.750000 1.761732e-02
3.000000 1.790726e-02
3.250000 1.828567e-02
3.500000 1.879065e-02
3.750000 1.939798e-02
4.000000 2.010717e-02
4.250000 2.091774e-02
4.500000 2.182998e-02
4.750000 2.284396e-02
5.000000 2.396049e-02
5.250000 2.517998e-02
5.500000 2.650343e-02
5.750000 2.793157e-02
6.000000 2.946522e-02
6.250000 3.110521e-02
6.500000 3.285223e-02
6.750000 3.470697e-02
7.000000 3.667020e-02
7.250000 3.874228e-02
7.500000 4.092382e-02
7.750000 4.321529e-02
8.000000 4.561696e-02
