2.000000 1.744600e-02
2.250000 1.708859e-02
2.500000 1.498211e-02
2.750000 1.594349e-02
3.000000 2.003702e-02
3.250000 2.196073e-02
3.500000 2.375257e-02
3.750000 2.340627e-02
4.000000 2.427431e-02
4.250000 3.061891e-02
4.500000 4.158896e-02
4.750000 4.260706e-02
5.000000 3.809504e-02
5.250000 4.193738e-02
5.500000 4.876392e-02
5.750000 5.546220e-02
6.000000 7.844354e-02
6.250000 8.732820e-02
6.500000 9.103816e-02
6.750000 9.920917e-02
7.000000 1.249822e-01
7.250000 1.780043e-01
7.500000 2.227741e-01
7.750000 2.645975e-01
8.000000 2.874323e-01
