0.595	1.878
0.850	7.157
1.105	5.727
1.360	4.791
1.615	3.068
1.870	2.147
2.097	1.796
2.352	1.878
2.607	1.437
2.862	0.330
3.117	0.135
3.372	0.106
3.628	0.055
3.854	0.071
4.109	0.030
4.364	0.030
4.619	0.055
4.846	0.045
5.130	0.081
5.356	0.041
5.611	0.066
5.866	0.020
6.121	0.030
6.377	0.087
6.603	0.045
6.887	0.030
7.113	0.061
7.368	0.030
7.623	0.025
7.879	0.065
8.134	0.057
8.360	0.045
8.615	0.081
8.870	0.041
9.126	0.035
9.381	0.041
9.636	0.055
9.862	0.045
10.146	0.015
10.372	0.010
10.628	0.041
10.883	0.015
11.109	0.020
11.393	0.005
11.619	0.010
11.874	0.010
