# MiniBooNE pi0 background (data-driven approach)
# calculated using generator G18_10a_02_11a
#   E [MeV]  BG [events/MeV]
       250    0.61414
     337.5    0.96295
       425      1.019
     512.5    0.34121
     612.5    0.16225
     737.5   0.046927
       875   0.017554
      1025  0.0085318
      1175   0.010202
      1375  0.0037638
      2250          0
