# MiniBooNE pi0 background (data-driven approach)
# calculated using generator G18_01a_02_11a
#   E [MeV]  BG [events/MeV]
       250     2.1717
     337.5     1.0795
       425    0.55929
     512.5    0.31791
     612.5    0.32067
     737.5    0.14165
       875    0.19499
      1025    0.18875
      1175   0.092923
      1375   0.050142
      2250          0
