# MiniBooNE intrinsic nu-e background
# calculated using generator gibuu
#   E [MeV]  BG [events/MeV]
       250    0.49896
     337.5    0.73844
       425    0.98173
     512.5    0.84191
     612.5    0.89551
     737.5    0.91599
       875    0.74087
      1025    0.59726
      1175    0.39782
      1375     0.3562
      2250   0.044938
