# MiniBooNE nu-mu event rate
# calculated using generator G18_10b_02_11a
#   E [MeV]  BG [events/MeV]
       250     97.689
       600     348.77
       800     310.17
      1000     215.83
      1200     128.99
      1400     63.862
      1600     29.464
      1800     13.244
