# MiniBooNE coherent photon (\Delta -> \gamma) background
# calculated using generator G18_10a_02_11a
#   E [MeV]  BG [events/MeV]
       250    0.33467
     337.5    0.49709
       425    0.49623
     512.5    0.17701
     612.5   0.067202
     737.5   0.022232
       875  0.0046315
      1025  0.0061666
      1175  0.0015255
      1375  0.0029776
      2250          0
