# MiniBooNE pi0 background (data-driven approach)
# calculated using generator G18_10b_02_11a
#   E [MeV]  BG [events/MeV]
       250    0.51829
     337.5    0.89486
       425     0.8775
     512.5    0.47359
     612.5    0.17754
     737.5   0.044366
       875   0.014376
      1025  0.0054756
      1175  0.0027302
      1375  0.0022104
      2250          0
