# MiniBooNE coherent photon (\Delta -> \gamma) background
# calculated using generator gibuu
#   E [MeV]  BG [events/MeV]
       250    0.48767
     337.5    0.54599
       425    0.42549
     512.5    0.13281
     612.5    0.05921
     737.5   0.025446
       875  0.0076508
      1025  0.0066918
      1175  0.0053921
      1375   0.002233
      2250          0
