# MiniBooNE coherent photon (\Delta -> \gamma) background
# calculated using generator nuwro
#   E [MeV]  BG [events/MeV]
       250    0.29229
     337.5    0.40742
       425    0.44453
     512.5     0.1987
     612.5   0.087469
     737.5   0.024897
       875   0.014952
      1025   0.017598
      1175  0.0060543
      1375  0.0038233
      2250          0
