# MiniBooNE nu-mu event rate
# calculated using generator G18_02b_02_11a
#   E [MeV]  BG [events/MeV]
       250      126.9
       600     376.61
       800     323.28
      1000     223.58
      1200     129.19
      1400     65.129
      1600     28.231
      1800     13.245
