# MiniBooNE coherent photon (\Delta -> \gamma) background
# calculated using generator G18_02a_02_11a
#   E [MeV]  BG [events/MeV]
       250     0.2844
     337.5    0.48723
       425    0.45405
     512.5    0.20745
     612.5   0.071586
     737.5   0.017586
       875  0.0069051
      1025  0.0030474
      1175  0.0040973
      1375  0.0016494
      2250          0
