# MiniBooNE pi0 background (first-principles approach)
# calculated using generator nuance
#   E [MeV]  BG [events/MeV]
       250     2.1374
     337.5     1.2028
       425    0.70617
     512.5    0.36636
     612.5    0.32086
     737.5    0.17048
       875    0.17025
      1025    0.14415
      1175   0.085384
      1375   0.045969
      2250          0
