# MiniBooNE nu-mu event rate
# calculated using generator nuwro
#   E [MeV]  BG [events/MeV]
       250     89.707
       600     335.31
       800     293.39
      1000     202.41
      1200     117.66
      1400      58.19
      1600     25.362
      1800     11.656
