# MiniBooNE intrinsic nu-e background
# calculated using generator G18_02b_02_11a
#   E [MeV]  BG [events/MeV]
       250    0.77074
     337.5      1.031
       425     1.0483
     512.5     1.0819
     612.5    0.97958
     737.5     1.0332
       875    0.86045
      1025      0.722
      1175    0.52704
      1375    0.43242
      2250   0.069459
