# MiniBooNE single photon background (data-driven approach)
# calculated using generator nuance
#   E [MeV]  BG [events/MeV]
       250    0.40531
     337.5    0.56892
       425    0.54947
     512.5    0.22902
     612.5    0.10472
     737.5    0.03929
       875    0.01311
      1025    0.01311
      1175    0.01312
      1375    0.00657
      2250          0
