# MiniBooNE intrinsic nu-e background
# calculated using generator G18_01a_02_11a
#   E [MeV]  BG [events/MeV]
       250    0.68381
     337.5    0.79297
       425    0.92613
     512.5    0.83911
     612.5    0.91614
     737.5    0.84266
       875     0.6329
      1025    0.56027
      1175    0.41163
      1375    0.36104
      2250   0.054175
