# MiniBooNE coherent photon (\Delta -> \gamma) background
# calculated using generator G18_01b_02_11a
#   E [MeV]  BG [events/MeV]
       250    0.27435
     337.5    0.38689
       425    0.36829
     512.5    0.16973
     612.5   0.067115
     737.5   0.022402
       875  0.0038833
      1025  0.0046116
      1175  0.0027262
      1375  0.0015786
      2250          0
