# MiniBooNE pi0 background (data-driven approach)
# calculated using generator G18_02a_02_11a
#   E [MeV]  BG [events/MeV]
       250      2.081
     337.5     1.1301
       425    0.63459
     512.5    0.32887
     612.5     0.4213
     737.5    0.14801
       875     0.2003
      1025    0.17685
      1175    0.10594
      1375   0.053575
      2250          0
