# MiniBooNE intrinsic nu-e background
# calculated using generator nuwro
#   E [MeV]  BG [events/MeV]
       250    0.39562
     337.5    0.67587
       425     0.8397
     512.5    0.92517
     612.5    0.92686
     737.5     1.0182
       875    0.85062
      1025    0.68565
      1175     0.4681
      1375    0.30019
      2250   0.022229
