# MiniBooNE intrinsic nu-e background
# calculated using generator G18_10b_02_11a
#   E [MeV]  BG [events/MeV]
       250    0.50581
     337.5    0.63196
       425    0.80926
     512.5    0.75958
     612.5    0.85629
     737.5    0.80066
       875    0.61817
      1025    0.55682
      1175    0.41116
      1375    0.36358
      2250   0.055248
