# MiniBooNE pi0 background (first-principles approach)
# calculated using generator G18_02b_02_11a
#   E [MeV]  BG [events/MeV]
       250     2.1869
     337.5      1.125
       425    0.54872
     512.5     0.4084
     612.5    0.33926
     737.5    0.17838
       875    0.16705
      1025    0.14625
      1175   0.088755
      1375   0.047777
      2250  9.198e-07
