1.1     0.69048     0.65417   0.72665
1.3     0.69779     0.66752   0.72794
1.5     0.69109     0.66473   0.71647
1.7     0.74991     0.72653   0.77298
1.9     0.75113     0.72944   0.77262
2.1     0.70903     0.68957   0.72903
2.3     0.73403     0.71486   0.75277
2.5     0.72001     0.70176   0.73876
2.7     0.70010     0.68216   0.71759
2.9     0.72205     0.70445   0.74003
3.1     0.68918     0.67228   0.70638
3.3     0.69900     0.68140   0.71677
3.5     0.72170     0.70315   0.73941
3.7     0.74472     0.72549   0.76382
3.9     0.70547     0.68611   0.72464
4.1     0.67992     0.66021   0.69886
4.3     0.67563     0.65416   0.69547
4.5     0.70900     0.68594   0.73141
4.7     0.68298     0.65889   0.70604
4.9     0.68607     0.66004   0.71120
5.1     0.73001     0.70107   0.75917
5.3     0.72129     0.68801   0.75308
5.5     0.67615     0.64148   0.70913
5.7     0.71569     0.67540   0.75526
5.9     0.78267     0.73393   0.83142
6.1     0.74920     0.69579   0.80219
6.3     0.69915     0.64155   0.75647
6.5     0.79067     0.71526   0.86519
6.7     0.64151     0.56448   0.71718
6.9     0.63736     0.55109   0.72297


