# MINOS fit of a 3+1 sterile neutrino model with m4 >> m3 and th13=12 deg
# taken from fig. 14, left panel, of 1001.0336
#
# th23 [deg]    \Delta\chi^2
  34.17830        2.83916
  35.02103        2.07798
  36.08268        1.43153
  37.57637        0.79923
  39.50560        0.31026
  40.68875        0.16616
  42.30394        0.03619
  44.46141        0.00645
  46.61927       -0.00893
  48.88504       -0.02437
  51.37012        0.08927
  52.99230        0.21769
  53.96933        0.43253
  55.16530        0.76211
  55.92845        1.04883
  56.69237        1.36426
  57.46057        1.83758
  58.33823        2.36827
  59.00084        2.92776
  59.55476        3.45861

