# MINOS far detector purity for CC events
# taken from fig. 6 of 1001.0336
#
# E_reco [GeV]   efficiency
   0.47790        0.72158
   1.48480        0.93714
   2.56215        0.98563
   3.83159        0.99539
   8.65697        0.99568
  14.75209        0.99847
  22.75207        0.99896
  37.35531        0.99742

