# ICARUS 99% confidence level limit on sterile neutrinos
# from Neutrino 2014 talk by Christian Farnese, slide 10
#
#   sin^2 2\theta_{mu e}         \Delta m_{41}^2 [eV^2]
      0.00943377                        0.0302971
      0.0100417                         0.024767
      0.0100631                         0.0393719
      0.010919                          0.0210791
      0.0116743                         0.0453372
      0.0122311                         0.116905
      0.0126509                         0.0183055
      0.0127084                         0.0491435
      0.0133157                         0.1293
      0.0134724                         0.0165508
      0.0138762                         0.10359
      0.0142158                         0.201445
      0.014561                          0.376264
      0.0148567                         0.301448
      0.0150551                         0.0543538
      0.0151403                         0.185843
      0.0152386                         0.761795
      0.015485                          0.251442
      0.0155833                         100
      0.015944                          0.0146657
      0.0160817                         0.0955666
      0.0163871                         0.0577415
      0.0164569                         0.14592
      0.0166259                         0.0135298
      0.0171735                         0.15817
      0.019032                          0.0846818
      0.0196761                         0.0119888
      0.0198258                         0.0625891
      0.0206872                         0.0664901
      0.0207025                         0.078123
      0.02186                           0.0110602
      0.0225153                         0.0692249
      0.0248048                         0.0102036

