# GLoBES cross section file for NC interactions in the following material:
#
#      PDG code     abundance
#     1000260560        1
#
# log10(E/GeV) \nu_e      \nu_\mu         \nu_\tau      \bar{\nu}_e    \bar{\nu}_\mu  \bar{\nu}_\tau
-0.772	0.1405952	0.1405952	0.1405952           0.0           0.0             0.0
-0.769	0.1423608	0.1423608	0.1423608          0.0           0.0             0.0 
-0.766	0.1442617	0.1442617	0.1442617           0.0           0.0             0.0
-0.763	0.1461496	0.1461496	0.1461496           0.0           0.0             0.0
-0.76	0.1480245	0.1480245	0.1480245           0.0           0.0             0.0
-0.757	0.1498866	0.1498866	0.1498866           0.0           0.0             0.0
-0.754	0.1517358	0.1517358	0.1517358           0.0           0.0             0.0
-0.751	0.1530284	0.1530284	0.1530284           0.0           0.0             0.0
-0.748	0.1541632	0.1541632	0.1541632           0.0           0.0             0.0
-0.745	0.1552903	0.1552903	0.1552903           0.0           0.0             0.0
-0.742	0.1564096	0.1564096	0.1564096           0.0           0.0             0.0
-0.739	0.1575214	0.1575214	0.1575214           0.0           0.0             0.0
-0.736	0.1586255	0.1586255	0.1586255           0.0           0.0             0.0
-0.733	0.1603723	0.1603723	0.1603723           0.0           0.0             0.0
-0.73	0.1622256	0.1622256	0.1622256           0.0           0.0             0.0
-0.727	0.1640662	0.1640662	0.1640662          0.0           0.0             0.0 
-0.724	0.1658943	0.1658943	0.1658943           0.0           0.0             0.0
-0.721	0.1677099	0.1677099	0.1677099           0.0           0.0             0.0
-0.718	0.1695131	0.1695131	0.1695131           0.0           0.0             0.0
-0.715	0.1708473	0.1708473	0.1708473           0.0           0.0             0.0
-0.712	0.1721253	0.1721253	0.1721253           0.0           0.0             0.0
-0.709	0.1733947	0.1733947	0.1733947           0.0           0.0             0.0
-0.706	0.1746554	0.1746554	0.1746554           0.0           0.0             0.0
-0.703	0.1759078	0.1759078	0.1759078           0.0           0.0             0.0
-0.7	0.1771519	0.1771519	0.1771519           0.0           0.0             0.0
-0.697	0.178859	0.178859	0.178859            0.0           0.0             0.0
-0.694	0.1805698	0.1805698	0.1805698           0.0           0.0             0.0
-0.691	0.1822693	0.1822693	0.1822693           0.0           0.0             0.0
-0.688	0.1839576	0.1839576	0.1839576           0.0           0.0             0.0
-0.685	0.1856347	0.1856347	0.1856347           0.0           0.0             0.0
-0.682	0.1873034	0.1873034	0.1873034           0.0           0.0             0.0
-0.679	0.1890514	0.1890514	0.1890514          0.0           0.0             0.0 
-0.676	0.1907881	0.1907881	0.1907881           0.0           0.0             0.0
-0.673	0.1925132	0.1925132	0.1925132          0.0           0.0             0.0 
-0.67	0.1942265	0.1942265	0.1942265           0.0           0.0             0.0
-0.667	0.1959286	0.1959286	0.1959286          0.0           0.0             0.0 
-0.664	0.1975559	0.1975559	0.1975559           0.0           0.0             0.0
-0.661	0.1986002	0.1986002	0.1986002           0.0           0.0             0.0
-0.658	0.1996373	0.1996373	0.1996373           0.0           0.0             0.0
-0.655	0.2006679	0.2006679	0.2006679           0.0           0.0             0.0
-0.652	0.2016929	0.2016929	0.2016929           0.0           0.0             0.0
-0.649	0.2027115	0.2027115	0.2027115           0.0           0.0             0.0
-0.646	0.2038619	0.2038619	0.2038619           0.0           0.0             0.0
-0.643	0.2057161	0.2057161	0.2057161           0.0           0.0             0.0
-0.64	0.2075597	0.2075597	0.2075597           0.0           0.0             0.0
-0.637	0.2093913	0.2093913	0.2093913           0.0           0.0             0.0
-0.634	0.2112107	0.2112107	0.2112107           0.0           0.0             0.0
-0.631	0.2130181	0.2130181	0.2130181           0.0           0.0             0.0
-0.628	0.2147507	0.2147507	0.2147507           0.0           0.0             0.0
-0.625	0.2162483	0.2162483	0.2162483          0.0           0.0             0.0 
-0.622	0.2177362	0.2177362	0.2177362           0.0           0.0             0.0
-0.619	0.2192142	0.2192142	0.2192142           0.0           0.0             0.0
-0.616	0.2206854	0.2206854	0.2206854           0.0           0.0             0.0
-0.613	0.2221479	0.2221479	0.2221479           0.0           0.0             0.0
-0.61	0.2236071	0.2236071	0.2236071           0.0           0.0             0.0
-0.607	0.2250708	0.2250708	0.2250708           0.0           0.0             0.0
-0.604	0.2265287	0.2265287	0.2265287           0.0           0.0             0.0
-0.601	0.2279784	0.2279784	0.2279784           0.0           0.0             0.0
-0.598	0.2294196	0.2294196	0.2294196           0.0           0.0             0.0
-0.595	0.2308508	0.2308508	0.2308508           0.0           0.0             0.0
-0.592	0.2321998	0.2321998	0.2321998           0.0           0.0             0.0
-0.589	0.2334002	0.2334002	0.2334002           0.0           0.0             0.0
-0.586	0.2345942	0.2345942	0.2345942           0.0           0.0             0.0
-0.583	0.23578	0.23578	0.23578                             0.0           0.0             0.0
-0.58	0.2369621	0.2369621	0.2369621           0.0           0.0             0.0
-0.577	0.2381398	0.2381398	0.2381398          0.0           0.0             0.0 
-0.574	0.2394312	0.2394312	0.2394312           0.0           0.0             0.0
-0.571	0.24088	0.24088	0.24088                            0.0           0.0             0.0 
-0.568	0.2423238	0.2423238	0.2423238           0.0           0.0             0.0
-0.565	0.2437626	0.2437626	0.2437626          0.0           0.0             0.0 
-0.562	0.2451958	0.2451958	0.2451958           0.0           0.0             0.0
-0.559	0.2466191	0.2466191	0.2466191           0.0           0.0             0.0
-0.556	0.2482029	0.2482029	0.2482029           0.0           0.0             0.0
-0.553	0.2499606	0.2499606	0.2499606           0.0           0.0             0.0
-0.55	0.2517121	0.2517121	0.2517121           0.0           0.0             0.0
-0.547	0.2534516	0.2534516	0.2534516           0.0           0.0             0.0
-0.544	0.2551843	0.2551843	0.2551843           0.0           0.0             0.0
-0.541	0.2569136	0.2569136	0.2569136           0.0           0.0             0.0
-0.538	0.258133	0.258133	0.258133            0.0           0.0             0.0
-0.535	0.2589192	0.2589192	0.2589192           0.0           0.0             0.0
-0.532	0.2597052	0.2597052	0.2597052           0.0           0.0             0.0
-0.529	0.2604968	0.2604968	0.2604968           0.0           0.0             0.0
-0.526	0.2612942	0.2612942	0.2612942           0.0           0.0             0.0
-0.523	0.2620861	0.2620861	0.2620861          0.0           0.0             0.0 
-0.52	0.2629559	0.2629559	0.2629559           0.0           0.0             0.0
-0.517	0.2638836	0.2638836	0.2638836           0.0           0.0             0.0
-0.514	0.2648202	0.2648202	0.2648202           0.0           0.0             0.0
