# Y projection
 0.000 0.000000e+00 0.000000e+00
 0.001 1.223772e-02 1.223772e-02
 0.002 1.857206e-02 1.857206e-02
 0.003 2.338882e-02 2.338882e-02
 0.004 2.711387e-02 2.711387e-02
 0.005 4.014597e-02 4.014597e-02
 0.006 6.434171e-02 6.434171e-02
 0.007 9.678860e-02 9.678860e-02
 0.008 1.361421e-01 1.361421e-01
 0.009 1.803398e-01 1.803398e-01
 0.010 2.274860e-01 2.274860e-01
 0.011 2.777106e-01 2.777106e-01
 0.012 3.321275e-01 3.321275e-01
 0.013 3.904887e-01 3.904887e-01
 0.014 4.525399e-01 4.525399e-01
 0.015 5.179922e-01 5.179922e-01
 0.016 5.867572e-01 5.867572e-01
 0.017 6.589158e-01 6.589158e-01
 0.018 7.344295e-01 7.344295e-01
 0.019 8.132587e-01 8.132587e-01
 0.020 8.952906e-01 8.952906e-01
 0.021 9.726514e-01 9.726514e-01
 0.022 1.049695e+00 1.049695e+00
 0.023 1.130618e+00 1.130618e+00
 0.024 1.216440e+00 1.216440e+00
 0.025 1.307508e+00 1.307508e+00
 0.026 1.392569e+00 1.392569e+00
 0.027 1.482673e+00 1.482673e+00
 0.028 1.577881e+00 1.577881e+00
 0.029 1.677424e+00 1.677424e+00
 0.030 1.783584e+00 1.783584e+00
 0.031 1.883513e+00 1.883513e+00
 0.032 1.991201e+00 1.991201e+00
 0.033 2.102647e+00 2.102647e+00
 0.034 2.216930e+00 2.216930e+00
 0.035 2.337247e+00 2.337247e+00
 0.036 2.453905e+00 2.453905e+00
 0.037 2.578093e+00 2.578093e+00
 0.038 2.704378e+00 2.704378e+00
 0.039 2.831430e+00 2.831430e+00
 0.040 2.964195e+00 2.964195e+00
 0.041 3.097236e+00 3.097236e+00
 0.042 3.238259e+00 3.238259e+00
 0.043 3.378928e+00 3.378928e+00
 0.044 3.517168e+00 3.517168e+00
 0.045 3.661568e+00 3.661568e+00
 0.046 3.813110e+00 3.813110e+00
 0.047 3.972271e+00 3.972271e+00
 0.048 4.126728e+00 4.126728e+00
 0.049 4.278319e+00 4.278319e+00
 0.050 4.440077e+00 4.440077e+00
 0.051 4.604898e+00 4.604898e+00
 0.052 4.777571e+00 4.777571e+00
 0.053 4.948535e+00 4.948535e+00
 0.054 5.119424e+00 5.119424e+00
 0.055 5.300063e+00 5.300063e+00
 0.056 5.477467e+00 5.477468e+00
 0.057 5.662464e+00 5.662469e+00
 0.058 5.848462e+00 5.848469e+00
 0.059 6.037069e+00 6.037075e+00
 0.060 6.235673e+00 6.235673e+00
 0.061 6.424602e+00 6.424608e+00
 0.062 6.620990e+00 6.621014e+00
 0.063 6.821257e+00 6.821287e+00
 0.064 7.027612e+00 7.027610e+00
 0.065 7.245384e+00 7.245286e+00
 0.066 7.446609e+00 7.446333e+00
 0.067 7.656009e+00 7.655514e+00
 0.068 7.873113e+00 7.872360e+00
 0.069 8.096898e+00 8.096030e+00
 0.070 8.326377e+00 8.325437e+00
 0.071 8.545456e+00 8.544098e+00
 0.072 8.773070e+00 8.771245e+00
 0.073 9.006739e+00 9.004604e+00
 0.074 9.244331e+00 9.242150e+00
 0.075 9.487729e+00 9.485637e+00
 0.076 9.728332e+00 9.725480e+00
 0.077 9.978362e+00 9.974614e+00
 0.078 1.023051e+01 1.022626e+01
 0.079 1.048147e+01 1.047742e+01
 0.080 1.073646e+01 1.073307e+01
 0.081 1.099278e+01 1.098930e+01
 0.082 1.125413e+01 1.125125e+01
 0.083 1.151377e+01 1.151208e+01
 0.084 1.177347e+01 1.177291e+01
 0.085 1.204212e+01 1.204212e+01
 0.086 1.231123e+01 1.231135e+01
 0.087 1.258734e+01 1.258730e+01
 0.088 1.286449e+01 1.286408e+01
 0.089 1.314382e+01 1.314305e+01
 0.090 1.343214e+01 1.343118e+01
 0.091 1.371555e+01 1.371407e+01
 0.092 1.400726e+01 1.400516e+01
 0.093 1.430151e+01 1.429894e+01
 0.094 1.459819e+01 1.459546e+01
 0.095 1.490398e+01 1.490129e+01
 0.096 1.520448e+01 1.520088e+01
 0.097 1.551410e+01 1.550957e+01
 0.098 1.582614e+01 1.582110e+01
 0.099 1.614072e+01 1.613575e+01
 0.100 1.646514e+01 1.646050e+01
 0.101 1.678310e+01 1.677725e+01
 0.102 1.711070e+01 1.710382e+01
 0.103 1.744093e+01 1.743365e+01
 0.104 1.777398e+01 1.776687e+01
 0.105 1.811671e+01 1.810982e+01
 0.106 1.845077e+01 1.844120e+01
 0.107 1.879586e+01 1.878313e+01
 0.108 1.914311e+01 1.912806e+01
 0.109 1.949032e+01 1.947461e+01
 0.110 1.984636e+01 1.983103e+01
 0.111 2.019945e+01 2.017902e+01
 0.112 2.056327e+01 2.053753e+01
 0.113 2.092609e+01 2.089733e+01
 0.114 2.128726e+01 2.125879e+01
 0.115 2.165899e+01 2.163253e+01
 0.116 2.203070e+01 2.199720e+01
 0.117 2.241388e+01 2.237390e+01
 0.118 2.279495e+01 2.275238e+01
 0.119 2.317320e+01 2.313266e+01
 0.120 2.356236e+01 2.352570e+01
 0.121 2.395283e+01 2.390731e+01
 0.122 2.435555e+01 2.430197e+01
 0.123 2.475479e+01 2.469828e+01
 0.124 2.514925e+01 2.509582e+01
 0.125 2.555480e+01 2.550685e+01
 0.126 2.596534e+01 2.590635e+01
 0.127 2.638870e+01 2.632005e+01
 0.128 2.680465e+01 2.673462e+01
 0.129 2.721723e+01 2.714945e+01
 0.130 2.763914e+01 2.757864e+01
 0.131 2.806983e+01 2.799690e+01
 0.132 2.850659e+01 2.843034e+01
