 0.000 0.000  0.000000
 0.000 0.005  0.227435
 0.000 0.010  0.509636
 0.000 0.015  0.906281
 0.000 0.020  1.374659
 0.000 0.025  1.879661
 0.000 0.030  2.492894
 0.000 0.035  3.172343
 0.000 0.040  3.933459
 0.000 0.045  4.788102
 0.000 0.050  5.732160
 0.000 0.055  6.766447
 0.000 0.060  7.917714
 0.000 0.065  9.150101
 0.000 0.070 10.425199
 0.000 0.075 11.768352
 0.000 0.080 13.225210
 0.000 0.085 14.798486
 0.000 0.090 16.443346
 0.000 0.095 18.169613
 0.000 0.100 19.992021
 0.000 0.105 21.928083
 0.000 0.110 23.924934
 0.000 0.115 25.982614
 0.000 0.120 28.115654
 0.000 0.125 30.310084
 0.000 0.130 32.615257
 0.000 0.135 34.981646
 0.000 0.140 37.454475
 0.000 0.145 40.016641
 0.000 0.150 42.670386
 0.002 0.000  0.016139
 0.002 0.005  0.216884
 0.002 0.010  0.476825
 0.002 0.015  0.846541
 0.002 0.020  1.295206
 0.002 0.025  1.776825
 0.002 0.030  2.370584
 0.002 0.035  3.033420
 0.002 0.040  3.772423
 0.002 0.045  4.599904
 0.002 0.050  5.534693
 0.002 0.055  6.541805
 0.002 0.060  7.665870
 0.002 0.065  8.884486
 0.002 0.070 10.129518
 0.002 0.075 11.463146
 0.002 0.080 12.892865
 0.002 0.085 14.439017
 0.002 0.090 16.074247
 0.002 0.095 17.778260
 0.002 0.100 19.573691
 0.002 0.105 21.483674
 0.002 0.110 23.460264
 0.002 0.115 25.500409
 0.002 0.120 27.615721
 0.002 0.125 29.791344
 0.002 0.130 32.070047
 0.002 0.135 34.415901
 0.002 0.140 36.862507
 0.002 0.145 39.415048
 0.002 0.150 42.042841
 0.004 0.000  0.043562
 0.004 0.005  0.217444
 0.004 0.010  0.455130
 0.004 0.015  0.797823
 0.004 0.020  1.224654
 0.004 0.025  1.684857
 0.004 0.030  2.251427
 0.004 0.035  2.905239
 0.004 0.040  3.622051
 0.004 0.045  4.422275
 0.004 0.050  5.339212
 0.004 0.055  6.327606
 0.004 0.060  7.424373
 0.004 0.065  8.626278
 0.004 0.070  9.844026
 0.004 0.075 11.168102
 0.004 0.080 12.570583
 0.004 0.085 14.089514
 0.004 0.090 15.713895
 0.004 0.095 17.396767
 0.004 0.100 19.165124
